"t" ,   "L1", "B1", "F2", "L2",  "B2", "F3", "L3"
0   ,   9000,    0,    0, 9000,     0,     0, 9000
0.2 ,   9000,    0,    0, 9000,     0,     0, 9000
0.5 ,   9000,    0,    0, 9000,     0,  9000, 9000
1   ,   9000,    0, 9000, 9000,     0,  9000, 9000
1.5 ,   9000,    0,    0, 9000,  9000,     0, 9000
2   ,   9000,    0, 9000, 9000,  9000,     0, 9000
2.5 ,   9000,    0, 4500, 9000,  9000,  9000, 9000
3   ,   9000, 4500, 4500, 9000,  9000,     0, 9000
3.5 ,   9000, 9000,    0, 9000,  9000,     0, 9000
4   ,   9000, 9000,    0, 9000,     0,     0, 9000
4.5 ,   9000,    0,    0, 9000,     0,     0, 9000
